evaluation_type,user_id,user_type,task,completion_time,completion_success,error_count,action_count,satisfaction,difficulty,comments,evaluator,website,url,date
experimental,E1,Expert,Search for a specific course on the ISETCOM website,32,Y,0,5,4,1,"Found what I needed quickly. As someone familiar with these sites, I expected to find this in the main menu. The search functionality worked well.",AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,E1,Expert,Find contact information for ISETCOM,33,Y,0,6,4,2,"The interface was straightforward for this task. As someone familiar with these sites, I expected to find this in the main menu. Contact information was easy to find.",AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,E1,Expert,Find the academic calendar on the ISETCOM website,30,Y,0,8,4,3,"Completed the task, but this was quite challenging to complete. The site structure differs from what I'm used to.",AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,E1,Expert,Locate the faculty directory on the ISETCOM website,14,Y,0,3,5,2,"I completed the task without any issues. As someone familiar with these sites, I expected to find this in the main menu.",AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,E2,Expert,Search for a specific course on the ISETCOM website,30,Y,0,3,4,2,This was easy to accomplish. The site structure differs from what I'm used to. The search functionality worked well.,AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,E2,Expert,Find contact information for ISETCOM,16,Y,0,4,3,3,"Completed the task, but had trouble understanding where to look. Most similar websites place this in a more accessible location. Contact information was easy to find.",AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,E2,Expert,Find the academic calendar on the ISETCOM website,29,Y,0,8,4,3,"Completed the task, but this was quite challenging to complete. The site structure differs from what I'm used to.",AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,E2,Expert,Locate the faculty directory on the ISETCOM website,26,Y,0,5,5,1,The website made this task simple. Could be improved by following industry standards.,AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,E3,Expert,Search for a specific course on the ISETCOM website,17,Y,0,9,4,2,The interface was straightforward for this task. The site doesn't follow standard conventions for this function. The search functionality worked well.,AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,E3,Expert,Find contact information for ISETCOM,33,Y,2,10,4,1,I completed the task without any issues. The site doesn't follow standard conventions for this function. Contact information was easy to find.,AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,E3,Expert,Find the academic calendar on the ISETCOM website,25,Y,0,7,4,3,"Completed the task, but the website organization made this difficult. The site structure differs from what I'm used to.",AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,E3,Expert,Locate the faculty directory on the ISETCOM website,8,Y,0,4,3,1,"I completed the task without any issues. As someone familiar with these sites, I expected to find this in the main menu.",AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,E4,Expert,Search for a specific course on the ISETCOM website,8,Y,0,10,5,2,I completed the task without any issues. The site structure differs from what I'm used to. The search functionality worked well.,AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,E4,Expert,Find contact information for ISETCOM,19,Y,0,3,5,3,"Completed the task, but the navigation was confusing for this task. The site doesn't follow standard conventions for this function. Contact information was easy to find.",AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,E4,Expert,Find the academic calendar on the ISETCOM website,36,Y,0,5,5,2,Found what I needed quickly. Most similar websites place this in a more accessible location.,AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,E4,Expert,Locate the faculty directory on the ISETCOM website,23,Y,1,10,4,1,I completed the task without any issues. The site doesn't follow standard conventions for this function.,AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,E5,Expert,Search for a specific course on the ISETCOM website,48,Y,0,6,3,1,The website made this task simple. Most similar websites place this in a more accessible location. The search functionality worked well.,AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,E5,Expert,Find contact information for ISETCOM,12,Y,0,7,3,1,The interface was straightforward for this task. Could be improved by following industry standards. Contact information was easy to find.,AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,E5,Expert,Find the academic calendar on the ISETCOM website,14,Y,0,3,4,2,"Found what I needed quickly. As someone familiar with these sites, I expected to find this in the main menu.",AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,E5,Expert,Locate the faculty directory on the ISETCOM website,38,Y,0,8,3,2,This was easy to accomplish. The site doesn't follow standard conventions for this function.,AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,F1,First-time user,Search for a specific course on the ISETCOM website,193.5,N,8,13,1,5,Couldn't complete the task. The navigation was confusing for this task. The labeling was misleading and caused errors. I had to explore multiple sections before finding the right one. The search functionality was not intuitive.,AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,F1,First-time user,Find contact information for ISETCOM,100,Y,4,9,4,5,"Completed the task, but i struggled to find the right section. The labeling was misleading and caused errors. I had to explore multiple sections before finding the right one. Contact information was easy to find.",AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,F1,First-time user,Find the academic calendar on the ISETCOM website,114,Y,5,8,3,5,"Completed the task, but the website organization made this difficult. Had to backtrack several times. I had to explore multiple sections before finding the right one.",AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,F1,First-time user,Locate the faculty directory on the ISETCOM website,111.0,N,4,22,1,4,Couldn't complete the task. Had trouble understanding where to look. The labeling was misleading and caused errors. The terminology used was unfamiliar to me.,AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
