evaluation_type,user_id,user_type,task,completion_time,completion_success,error_count,action_count,satisfaction,difficulty,comments,evaluator,website,url,date
experimental,E1,Expert,Find information about admission requirements at TEK-UP,19,Y,0,4,3,3,"Completed the task, but i struggled to find the right section. Could be improved by following industry standards. Admission requirements were clearly presented.",AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,E1,Expert,Locate the faculty directory on the TEK-UP website,10,Y,2,9,4,3,"Completed the task, but the website organization made this difficult. Most similar websites place this in a more accessible location.",AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,E1,Expert,Find the academic calendar on the TEK-UP website,7,Y,0,3,5,2,I completed the task without any issues. Could be improved by following industry standards.,AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,E1,Expert,Search for a specific course on the TEK-UP website,67.5,N,2,12,1,3,Couldn't complete the task. I struggled to find the right section. The site doesn't follow standard conventions for this function. The search functionality was not intuitive.,AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,E2,Expert,Find information about admission requirements at TEK-UP,27,Y,2,6,3,1,The website made this task simple. Most similar websites place this in a more accessible location. Admission requirements were clearly presented.,AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,E2,Expert,Locate the faculty directory on the TEK-UP website,18,Y,0,8,3,3,"Completed the task, but this was quite challenging to complete. As someone familiar with these sites, I expected to find this in the main menu.",AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,E2,Expert,Find the academic calendar on the TEK-UP website,17,Y,0,3,5,1,I completed the task without any issues. Could be improved by following industry standards.,AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,E2,Expert,Search for a specific course on the TEK-UP website,78.0,N,1,10,2,5,"Couldn't complete the task. I struggled to find the right section. As someone familiar with these sites, I expected to find this in the main menu. The search functionality was not intuitive.",AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,E3,Expert,Find information about admission requirements at TEK-UP,46,Y,0,10,3,1,I completed the task without any issues. The site doesn't follow standard conventions for this function. Admission requirements were clearly presented.,AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,E3,Expert,Locate the faculty directory on the TEK-UP website,24,Y,0,7,3,3,"Completed the task, but the website organization made this difficult. The site doesn't follow standard conventions for this function.",AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,E3,Expert,Find the academic calendar on the TEK-UP website,13,Y,0,5,5,3,"Completed the task, but i struggled to find the right section. Most similar websites place this in a more accessible location.",AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,E3,Expert,Search for a specific course on the TEK-UP website,23,Y,0,4,3,1,I completed the task without any issues. Most similar websites place this in a more accessible location. The search functionality worked well.,AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,E4,Expert,Find information about admission requirements at TEK-UP,6,Y,0,7,4,2,Found what I needed quickly. The site doesn't follow standard conventions for this function. Admission requirements were clearly presented.,AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,E4,Expert,Locate the faculty directory on the TEK-UP website,23,Y,0,3,5,3,"Completed the task, but had trouble understanding where to look. Most similar websites place this in a more accessible location.",AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,E4,Expert,Find the academic calendar on the TEK-UP website,17,Y,0,8,3,2,This was easy to accomplish. The site doesn't follow standard conventions for this function.,AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,E4,Expert,Search for a specific course on the TEK-UP website,23,Y,0,8,4,2,This was easy to accomplish. The site doesn't follow standard conventions for this function. The search functionality worked well.,AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,E5,Expert,Find information about admission requirements at TEK-UP,44,Y,0,8,4,2,Found what I needed quickly. Most similar websites place this in a more accessible location. Admission requirements were clearly presented.,AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,E5,Expert,Locate the faculty directory on the TEK-UP website,34,Y,0,9,4,2,I completed the task without any issues. Most similar websites place this in a more accessible location.,AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,E5,Expert,Find the academic calendar on the TEK-UP website,18,Y,0,7,4,2,This was easy to accomplish. Most similar websites place this in a more accessible location.,AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,E5,Expert,Search for a specific course on the TEK-UP website,36,Y,2,8,5,3,"Completed the task, but had trouble understanding where to look. The site doesn't follow standard conventions for this function. The search functionality worked well.",AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,F1,First-time user,Find information about admission requirements at TEK-UP,68,Y,0,9,2,5,"Completed the task, but this was quite challenging to complete. I had to explore multiple sections before finding the right one. Admission requirements were clearly presented.",AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,F1,First-time user,Locate the faculty directory on the TEK-UP website,68,Y,0,8,3,4,"Completed the task, but the website organization made this difficult. I had to explore multiple sections before finding the right one.",AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,F1,First-time user,Find the academic calendar on the TEK-UP website,49,Y,1,7,3,2,The interface was straightforward for this task. The terminology used was unfamiliar to me.,AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,F1,First-time user,Search for a specific course on the TEK-UP website,101,Y,1,13,3,2,Found what I needed quickly. The layout wasn't intuitive for someone unfamiliar with the site. The search functionality worked well.,AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,F2,First-time user,Find information about admission requirements at TEK-UP,53,Y,0,15,4,2,I completed the task without any issues. I had to explore multiple sections before finding the right one. Admission requirements were clearly presented.,AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,F2,First-time user,Locate the faculty directory on the TEK-UP website,71,Y,5,8,3,3,"Completed the task, but i struggled to find the right section. Kept getting lost in the website structure. I had to explore multiple sections before finding the right one.",AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,F2,First-time user,Find the academic calendar on the TEK-UP website,112,Y,5,10,3,5,"Completed the task, but the navigation was confusing for this task. Clicked on the wrong sections multiple times. I had to explore multiple sections before finding the right one.",AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,F2,First-time user,Search for a specific course on the TEK-UP website,63,Y,0,11,3,4,"Completed the task, but the navigation was confusing for this task. The terminology used was unfamiliar to me. The search functionality worked well.",AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,F3,First-time user,Find information about admission requirements at TEK-UP,187.5,N,3,25,2,5,Couldn't complete the task. I struggled to find the right section. Kept getting lost in the website structure. I had to explore multiple sections before finding the right one. Admission requirements were scattered across multiple pages.,AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,F3,First-time user,Locate the faculty directory on the TEK-UP website,108,Y,4,17,3,3,"Completed the task, but the navigation was confusing for this task. The labeling was misleading and caused errors. I had to explore multiple sections before finding the right one.",AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,F3,First-time user,Find the academic calendar on the TEK-UP website,34,Y,0,9,2,5,"Completed the task, but the navigation was confusing for this task. As a first-time visitor, I wasn't sure where to start.",AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,F3,First-time user,Search for a specific course on the TEK-UP website,103,Y,3,8,3,3,"Completed the task, but the navigation was confusing for this task. Kept getting lost in the website structure. The layout wasn't intuitive for someone unfamiliar with the site. The search functionality worked well.",AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,F4,First-time user,Find information about admission requirements at TEK-UP,102,Y,3,13,3,2,This was easy to accomplish. Kept getting lost in the website structure. The terminology used was unfamiliar to me. Admission requirements were clearly presented.,AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,F4,First-time user,Locate the faculty directory on the TEK-UP website,33,Y,4,9,2,5,"Completed the task, but the website organization made this difficult. Clicked on the wrong sections multiple times. The terminology used was unfamiliar to me.",AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,F4,First-time user,Find the academic calendar on the TEK-UP website,105,Y,0,9,2,2,This was easy to accomplish. The layout wasn't intuitive for someone unfamiliar with the site.,AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,F4,First-time user,Search for a specific course on the TEK-UP website,45,Y,0,14,4,5,"Completed the task, but i struggled to find the right section. The layout wasn't intuitive for someone unfamiliar with the site. The search functionality worked well.",AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,F5,First-time user,Find information about admission requirements at TEK-UP,181.5,N,1,27,1,5,Couldn't complete the task. Had trouble understanding where to look. I had to explore multiple sections before finding the right one. Admission requirements were scattered across multiple pages.,AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,F5,First-time user,Locate the faculty directory on the TEK-UP website,108,Y,3,18,4,2,I completed the task without any issues. The labeling was misleading and caused errors. Would benefit from clearer instructions for new users.,AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,F5,First-time user,Find the academic calendar on the TEK-UP website,81.0,N,1,25,2,5,Couldn't complete the task. The website organization made this difficult. I had to explore multiple sections before finding the right one.,AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
experimental,F5,First-time user,Search for a specific course on the TEK-UP website,137,Y,2,11,3,4,"Completed the task, but this was quite challenging to complete. I had to explore multiple sections before finding the right one. The search functionality worked well.",AutomatedBot,TEK-UP,https://tek-up.de/,2025-04-19
